,D,Dmin,Dmax,N_dpts,N_npts,Nmin,Nmax,T,T_fridge,T_probe,Bmin,Bmax,N_bpts
1786,0.027294827341484692,0.027294827341484692,0.027294827341484692,(),(),1.6032993171869074,1.6032993171869074,27.997617460846385,,,,,
1787,0.10947342701299753,0.10947342701299753,0.10947342701299753,(),(),6.409946475006455,6.409946475006455,27.96183333333333,,,,,
1788,0.027294827341484692,0.027294827341484692,0.027294827341484692,(),(),1.6032993171869074,1.6032993171869074,28.031146284571808,,,,,
1789,0.10947342701299753,0.10947342701299753,0.10947342701299753,(),(),6.409946475006455,6.409946475006455,27.94044985004998,,,,,
1790,0.027294827341484692,0.027294827341484692,0.027294827341484692,(),(),1.6032993171869074,1.6032993171869074,28.024678440519825,,,,,
1791,0.10947342701299753,0.10947342701299753,0.10947342701299753,(),(),6.409946475006455,6.409946475006455,27.946197934021995,,,,,
1792,0.027294827341484692,0.027294827341484692,0.027294827341484692,(),(),1.6032993171869074,1.6032993171869074,28.009043652115963,,,,,
1793,0.10947342701299753,0.10947342701299753,0.10947342701299753,(),(),6.409946475006455,6.409946475006455,46.930206597800726,,,,,
1794,0.027294827341484692,0.027294827341484692,0.027294827341484692,(),(),1.6032993171869074,1.6032993171869074,113.26874708430523,,,,,
1795,0.10947342701299753,0.10947342701299753,0.10947342701299753,(),(),6.409946475006455,6.409946475006455,199.5525824725092,,,,,
1796,0.027294827341484692,0.027294827341484692,0.027294827341484692,(),(),1.6032993171869074,1.6032993171869074,314.52158280573144,,,,,
1797,0.10947342701299753,0.10947342701299753,0.10947342701299753,(),(),6.409946475006455,6.409946475006455,410.36662445851385,,,,,
1798,0.027294827341484692,0.027294827341484692,0.027294827341484692,(),(),1.6032993171869074,1.6032993171869074,526.6108518518519,,,,,
1799,0.10947342701299753,0.10947342701299753,0.10947342701299753,(),(),6.409946475006455,6.409946475006455,100.6328542864284,,,,,
1800,-5.882352941176471e-05,-5.882352941176471e-05,-5.882352941176471e-05,(),(),0.0006501587482352941,0.0006501587482352941,78.51765472312705,,,,,
1801,-5.882352941176471e-05,-5.882352941176471e-05,-5.882352941176471e-05,(),(),0.0006501587482352941,0.0006501587482352941,101.35387306346826,,,,,
1802,0.057142262654262234,0.057142262654262234,0.057142262654262234,(),(),3.178385427516845,3.178385427516845,100.62971111111112,,,,,
1803,0.0027291424543920027,0.0027291424543920027,0.0027291424543920027,(),(),0.16033369272831952,0.16033369272831952,101.42032222222221,,,,,
1804,0.08211977614210109,0.08211977614210109,0.08211977614210109,(),(),4.807297316567782,4.807297316567782,27.821989336887707,,,,,
1805,0.08211977614210109,0.08211977614210109,0.08211977614210109,(),(),4.807297316567782,4.807297316567782,46.96950016661113,,,,,
1806,0.08211977614210109,0.08211977614210109,0.08211977614210109,(),(),4.807297316567782,4.807297316567782,113.12714428523824,,,,,
1807,0.08211977614210109,0.08211977614210109,0.08211977614210109,(),(),4.807297316567782,4.807297316567782,199.00869710096634,,,,,
1808,0.08211977614210109,0.08211977614210109,0.08211977614210109,(),(),4.807297316567782,4.807297316567782,311.9401299566811,,,,,
1809,0.08211977614210109,0.08211977614210109,0.08211977614210109,(),(),4.807297316567782,4.807297316567782,407.2897100966345,,,,,
1810,0.08211977614210109,0.08211977614210109,0.08211977614210109,(),(),4.807297316567782,4.807297316567782,520.5439236947791,,,,,
1811,0.08211977614210109,0.08211977614210109,0.08211977614210109,(),(),4.807297316567782,4.807297316567782,654.1663078973675,,,,,
1812,0.08211977614210109,0.08211977614210109,0.08211977614210109,(),(),4.807297316567782,4.807297316567782,,1018.39431856048,1172.494595134955,,,
1813,0.054766125271204655,0.054766125271204655,0.054766125271204655,(),(),3.204648158129109,3.204648158129109,,1016.081324337831,1170.3662568715642,,,
1814,0.054766125271204655,0.054766125271204655,0.054766125271204655,(),(),3.204648158129109,3.204648158129109,,834.2119340329837,969.4951024487757,,,
1815,0.054766125271204655,0.054766125271204655,0.054766125271204655,(),(),3.204648158129109,3.204648158129109,,522.2678360819591,667.4943428285857,,,
1816,0.054766125271204655,0.054766125271204655,0.054766125271204655,(),(),3.204648158129109,3.204648158129109,,408.74232383808095,537.8710844577712,,,
1817,0.054766125271204655,0.054766125271204655,0.054766125271204655,(),(),3.204648158129109,3.204648158129109,,312.90381309345327,425.5406596701649,,,
1818,0.054766125271204655,0.054766125271204655,0.054766125271204655,(),(),3.204648158129109,3.204648158129109,,198.76149425287358,283.9596701649175,,,
1819,0.054766125271204655,0.054766125271204655,0.054766125271204655,(),(),3.204648158129109,3.204648158129109,,113.06303348325837,166.24073463268365,,,
1820,0.054766125271204655,0.054766125271204655,0.054766125271204655,(),(),3.204648158129109,3.204648158129109,,47.22067466266867,51.486561719140425,,,
1821,0.054766125271204655,0.054766125271204655,0.054766125271204655,(),(),3.204648158129109,3.204648158129109,,28.086216891554223,32.757501249375316,,,
1822,0.08211977614210109,0.08211977614210109,0.08211977614210109,(),(),4.807297316567782,4.807297316567782,,77.89210596467844,114.1106597800733,,,
1823,0.09579660157754932,0.09579660157754932,0.09579660157754932,(),(),5.608621895787119,5.608621895787119,,28.132012662445852,32.831272909030325,,,
1824,0.09579660157754932,0.09579660157754932,0.09579660157754932,(),(),5.608621895787119,5.608621895787119,,28.093835388203928,32.79841386204599,,,
1825,0.09579660157754932,0.09579660157754932,0.09579660157754932,(),(),5.608621895787119,5.608621895787119,,28.056624458513824,32.75091969343552,,,
1826,0.09579660157754932,0.09579660157754932,0.09579660157754932,(),(),5.608621895787119,5.608621895787119,,28.053638787070977,32.72980339886705,,,
1827,0.09579660157754932,0.09579660157754932,0.09579660157754932,(),(),5.608621895787119,5.608621895787119,,28.04183605464845,32.72521492835721,,,
1828,0.09579660157754932,0.09579660157754932,0.09579660157754932,(),(),5.608621895787119,5.608621895787119,,28.080663112295905,32.76797734088637,,,
1829,0.09579660157754932,0.09579660157754932,0.09579660157754932,(),(),5.608621895787119,5.608621895787119,,28.103852049316895,32.80254581806064,,,
1830,0.09579660157754932,0.09579660157754932,0.09579660157754932,(),(),5.608621895787119,5.608621895787119,,28.112272575808067,32.804545151616125,,,
